Symbol,Final Weighted Rating,GPM,ROA,ROE,Gross Profit Growth,Net Income Growth,EPS Growth,Unweighted Rating
NWLI,158.46352587682784,0.832343735503938,0.010484451003776095,0.061842562151032565,0.402104042344,0.127254663492,0.127195639007,4
OCSL,152.00398008855993,0.7331112645732624,0.0851834996806294,0.1355640802467146,0.0127,1.6979,1.697,4
AMP,138.48121293029283,0.7360146531328703,0.012468055958057802,0.3304241577936813,-0.00894370175108,-0.0977121067684,-0.0201249132547,5
NTRS,133.01064867699876,0.0,0.011771958022123476,0.14811149281996136,0.0,0.298081734779,0.349494949495,5
UHAL,126.94629344235966,0.7068421609851867,0.031186171411974037,0.1004382257665701,0.048229609446,-0.530906938297,-0.530971258672,5
RILY,125.02616413634675,0.988383897244645,0.035204803082420764,0.22628237120834027,9.71816745656,134.566445183,153.0,4
ACBI,118.56117054613297,0.0,0.009654061662561242,0.08815614253536967,0.0,-8.65754159957,-8.33333333333,4
BAK,116.35040750004555,0.19945987461419154,0.04808312567711505,0.4329535589115007,-0.2454,-0.3758,276.6061,5
BANF,114.28170547832046,0.0,0.015746300560907745,0.13420942915793108,0.0,0.0720508051568,0.0727272727273,5
FTAI,108.39048173485422,0.17544271474456233,0.06897602104715529,262.979976442874,0.0,36.9581774906,23.8571428571,4
PSMT,102.65937736246714,0.16384628889444458,0.056456632965934415,0.09179269857315034,0.0353697308019,-0.0152970616726,-0.016393442623,4
BANC,102.21893713446033,-4.1620271234832265,0.004277677647751421,0.04809134309289777,0.038063289453,-0.212046647837,-0.375,5
CMCT,101.16823563896605,0.8121995299630685,0.5177908063607712,1.2448161619071627,-0.340726309137,307.361284567,-68.0,4
CSCO,100.23915504875816,0.6293541923551171,0.11883263628276053,0.3461618658961604,0.0673070639744,104.645454545,130.5,5
VOYA,99.90632093696907,0.6544943820224719,-0.002076296502238969,-0.03730867346938776,-0.105320899616,-1.40114285714,-1.50186567164,4
APRN,97.86364842903268,0.3863384542328763,-0.22957172119594835,-0.8982632097530846,-0.249337901104,-0.499946786302,6.4126984127,4
UMBF,96.4114159718443,1.0,0.0091712188628931,0.09346081244916438,0.211338009067,0.245952954535,0.256926952141,5
ZION,95.9213058221402,-0.0,0.012364355744334216,0.11216679862760623,0.0,0.545454545455,0.608856088561,5
MITT,95.64253110511936,0.75494717179382,0.0004418238081041983,0.0023902038228017517,0.0,-0.98677436227,-1.11140583554,4
NBN,92.46425877097383,1.0,0.01396345971793224,0.11678104457126345,0.0,0.310154793743,0.302158273381,5
DNOW,81.65531578288163,0.20147105852254557,0.028969359331476322,0.042833607907743,0.25748502994,-2.0,-1.97916666667,4
CAH,79.53122993983342,0.04695809913834568,0.0332739301320704,0.21539190897597976,-0.0483219607297,4.32421875,4.5487804878,5
IBCP,67.38049281545256,0.0,0.01188060290801755,0.11752125406349374,0.0,0.945738705739,0.770833333333,4
BJRI,60.9970385808786,0.4575453097421327,0.04219632043757765,0.15583887669788865,0.0376601057491,-0.109663452076,-0.0785123966942,4
PBR,59.296721986234516,0.3564090224305323,0.03230091683628438,0.100259979872526,0.1878,79.8242,56.0,4
ENLC,58.7204391416222,0.1971451700837615,-0.11989331390989524,-0.29197099332220366,-0.0357950872657,83.7954545455,33.4285714286,4
BFIN,58.11773759374502,1.0,0.007844006948854683,0.0669373523272085,-0.03125,-0.396546375763,-0.324324324324,5
CUZ,57.39789353993861,0.18828228243394526,0.019092703463525037,0.02862178739743263,0.0272276490806,-0.63396601549,-0.634615384615,5
ASPS,54.9857705481722,0.23956642323838243,-0.7996723090784926,13.492026636291948,-0.280701916801,56.2220364177,59.1875,4
SPWH,54.74129379727697,0.3346487650623138,0.032782445539625164,0.18332607828200384,0.0410732460604,-0.148842105263,-0.145454545455,5
FIX,53.62305635529213,0.19192727959600456,0.07596218501912277,0.19532413925071415,0.124729149254,0.0125860251721,0.023102310231,5
GE,53.12348736954141,-0.03139415368170045,-0.07231608810561287,-0.7215712856266744,123.064039409,-0.777275777231,-0.763358778626,4
PFG,52.35467001152311,0.389363892467683,0.005049842839850221,0.09537556437269121,0.0449319238341,-0.0984804397026,-0.0757855822551,5
