Symbol,Final Weighted Rating,DCF/P,PEG,Dividend Payout Ratio,P/FV,Unweighted Rating
UNB,1.931,1.001,8.988,0.036,2.108,5.0
MGP,1.929,1.096,43.337,0.189,1.121,5.0
LAZ,1.928,1.436,3.117,0.06,7.003,5.0
TPL,1.927,1.103,0.585,0.009,9.844,5.0
GBL,1.926,1.304,1.367,0.006,8.75,5.0
ILPT,1.925,1.025,23.252,0.062,1.402,5.0
SYX,1.923,1.159,2.945,0.306,4.876,5.0
MGRC,1.922,1.002,5.615,0.02,2.807,5.0
EPM,1.918,1.38,22.271,0.066,2.529,5.0
LZB,1.916,1.127,13.137,0.015,2.279,5.0
FIX,1.915,1.042,5.299,0.008,3.171,5.0
GPN,1.912,1.058,35.971,0.001,1.268,5.0
CPSI,1.911,1.026,13.792,0.016,1.96,5.0
KSU,1.909,1.012,4.428,0.01,3.408,5.0
PETS,1.908,1.185,6.956,0.046,3.552,5.0
WES,1.907,1.072,11.9,0.131,2.307,5.0
NOC,1.907,1.042,1.349,0.015,6.56,5.0
RVSB,1.904,1.204,53.356,0.012,1.349,5.0
MSEX,1.903,1.002,15.609,0.016,1.846,5.0
HLI,1.903,1.094,6.601,0.023,3.263,5.0
HAS,1.903,1.546,14.5,0.026,4.342,5.0
WEC,1.901,1.001,7.252,0.027,2.731,5.0
MLI,1.9,1.077,9.266,0.013,2.722,5.0
ABC,1.899,1.195,2.617,0.019,6.135,5.0
MC,1.893,1.101,5.66,0.126,3.752,5.0
TILE,1.892,1.194,14.656,0.016,2.688,5.0
DG,1.89,1.006,3.096,0.011,4.45,5.0
CAKE,1.89,1.081,6.732,0.031,3.378,5.0
CRI,1.89,1.069,2.737,0.02,5.212,5.0
CE,1.889,1.052,1.864,0.019,6.169,5.0
AIV,1.886,1.028,3.617,0.031,4.343,5.0
SCS,1.886,1.21,22.408,0.033,2.297,5.0
NJR,1.884,1.001,9.222,0.025,2.635,5.0
CCF,1.883,1.064,6.311,0.008,3.518,5.0
VIVO,1.881,1.207,28.891,0.027,2.066,5.0
ODFL,1.879,1.039,3.22,0.004,4.854,5.0
FWRD,1.878,1.046,6.854,0.011,3.377,5.0
SON,1.878,1.034,6.674,0.028,3.363,5.0
JBL,1.872,1.307,29.397,0.011,2.481,5.0
WPC,1.872,1.019,18.98,0.051,2.009,5.0
BRC,1.87,1.12,11.394,0.017,3.043,5.0
AJG,1.87,1.041,7.531,0.019,3.327,5.0
ARMK,1.87,1.046,9.583,0.011,2.979,5.0
HRB,1.869,1.504,3.961,0.041,9.227,5.0
WWW,1.867,1.137,9.041,0.012,3.563,5.0
KFRC,1.867,1.033,2.801,0.018,5.48,5.0
TMO,1.866,1.022,4.612,0.002,4.22,5.0
SLGN,1.866,1.067,8.632,0.015,3.301,5.0
FBHS,1.865,1.063,7.262,0.014,3.599,5.0
CBRL,1.861,1.021,1.807,0.047,6.876,5.0
VMC,1.86,1.021,7.778,0.009,3.332,5.0
ATVI,1.858,1.132,11.708,0.007,3.248,5.0
FISV,1.856,1.018,28.295,0.002,1.775,5.0
ADI,1.855,1.02,7.412,0.019,3.495,5.0
LSTR,1.852,1.087,3.034,0.006,6.144,5.0
JBSS,1.851,1.002,7.749,0.034,3.408,5.0
OHI,1.85,1.004,19.714,0.064,2.146,5.0
ALSN,1.85,1.047,1.849,0.012,7.49,5.0
PLAY,1.849,1.036,4.869,0.007,4.559,5.0
VCTR,1.849,1.031,15.635,0.005,2.533,5.0
STFC,1.847,1.066,53.827,0.013,1.445,5.0
NDSN,1.847,1.02,3.684,0.01,5.158,5.0
ARNC,1.847,1.213,20.146,0.004,2.958,5.0
ARNC#,1.847,1.213,20.146,0.004,2.958,5.0
WSR,1.847,1.061,43.682,0.083,1.598,5.0
LPLA,1.846,1.132,2.539,0.011,7.392,5.0
MGPI,1.842,1.007,9.019,0.009,3.319,5.0
MNR,1.841,1.019,69.342,0.038,1.226,5.0
FSS,1.839,1.019,11.499,0.01,3.036,5.0
BGSF,1.838,1.0,9.74,0.056,3.231,5.0
VVI,1.833,1.155,23.405,0.006,2.692,5.0
ELY,1.832,1.101,22.237,0.002,2.557,5.0
FELE,1.832,1.031,11.651,0.011,3.188,5.0
AEE,1.83,1.001,21.826,0.026,2.245,5.0
GTY,1.825,1.022,23.454,0.042,2.298,5.0
FRT,1.825,1.022,8.473,0.002,3.827,5.0
SSD,1.825,1.086,9.402,0.011,3.998,5.0
HIW,1.824,1.003,22.43,0.04,2.288,5.0
MGEE,1.822,1.011,12.639,0.018,3.117,5.0
BOOM,1.819,1.057,9.465,0.004,3.912,5.0
SEIC,1.819,1.126,5.775,0.01,5.56,5.0
AMAT,1.818,1.073,4.841,0.017,5.639,5.0
GRC,1.818,1.106,17.511,0.015,3.117,5.0
GMRE,1.816,1.007,112.128,0.013,1.074,5.0
WWD,1.816,1.025,9.655,0.006,3.765,5.0
BXP,1.813,1.044,10.759,0.031,3.722,5.0
MAC,1.812,1.114,91.134,0.127,1.423,5.0
LANC,1.811,1.053,5.315,0.018,5.429,5.0
